,latency,time
77151130,48700,164198754203
77231788,48550,34540317476
77491975,48100,136185719303
77565564,47963,101543274864
77569670,47962,131385081740
77587198,47925,56950513789
77631562,47850,114404832527
77900543,47362,55350343939
77996826,47187,117779948665
78022683,47137,67411258489
78150497,46900,125781437840
78166781,46863,77760117101
78254522,46700,60151507426
78279740,46650,21645249275
78297456,46625,140187651265
78318595,46575,14028225188
78439969,46350,126899875440
78551459,46137,158596201128
78598945,46038,164429751728
78662117,45913,101730993039
78713583,45813,153794226765
78756613,45725,53312655963
78781709,45675,46545692651
78823132,45600,137785812903
78933644,45375,115462329327
78958533,45325,122581056365
79061918,45112,51163190626
79068632,45100,124048559702
79142850,44938,49105655013
79195205,44837,116176825565
79215371,44788,82542627764
79291263,44625,1720723763
79396258,44412,154359523628
79440142,44312,3319900013
79535081,44112,144011387403
79535928,44100,14529032913
79550378,44075,99448304827
79572197,44025,65126336364
79648703,43862,95366008852
79772403,43587,103148104377
79800783,43525,157007242403
79854193,43400,115377392315
79985337,43100,126583768377
80034395,42987,150923214003
80276160,42412,137195156203
80311042,42325,110574117790
80391997,42125,90161859502
80509542,41837,119870413965
80579494,41662,146559404903
80610958,41575,40144463888
80612045,41575,75356416514
80655519,41463,105772482239
80717411,41312,160718618528
80965491,40650,40030397263
81078061,40350,124980410627
81208116,39987,9062750613
81329153,39638,24134836225
81340723,39612,86563086452
81411615,39400,56150921864
81416488,39388,156197126940
81454081,39275,49745756688
81516582,39088,71356344126
81524242,39063,17070232325
81597679,38850,147723274865
81598544,38838,37666628188
81668835,38625,86857715627
81763101,38325,46818777126
82024135,37475,88304465927
82030339,37450,36310009513
82032025,37450,110581707577
82091950,37238,7916943850
82426135,36037,152988139428
82527562,35637,18214189588
82605820,35325,96008649952
82751350,34725,146347041553
82797594,34525,120036419302
82884290,34138,56736075001
82895338,34088,21728954650
82973795,33738,146591407440
83121185,33050,142917876178
83136193,32975,120979846115
83141830,32950,153293585815
83179984,32750,13727423375
83195242,32675,25175624888
83197542,32663,23337417225
83320024,32025,9724032600
83331051,31975,129189682365
83400438,31575,52539214951
83410284,31525,147392071015
83467308,31175,67355254864
83554551,30625,59745731151
83571363,30513,57114493876
83583071,30438,114301450827
83630404,30125,4738506725
83757366,29275,156995467703
83787525,29062,48947693801
83799579,28975,64165194989
84022769,26888,130584904377
84093538,24587,100590371377
