,latency,time
18072877,250112,58944822014
18243936,249263,52350920613
18273891,249125,142239828865
18507302,248000,156993558115
18557307,247762,160410144428
18861917,246313,153523279890
18880807,246225,83338292389
18979993,245762,24239453813
18984831,245738,127832710627
19092798,245238,91049721114
19158900,244937,69409990289
19224617,244637,31374140951
19317810,244212,50266466501
19412436,243775,8614511588
19494355,243412,19026995113
19501896,243375,46787378238
19662920,242662,61885727589
19817206,241975,5145827075
19851914,241825,26130518025
19860453,241788,39385549738
19883390,241688,3082706875
19894081,241650,122269004265
19904337,241600,64153018651
19943431,241425,32916948213
19984161,241250,66752833026
20011515,241125,9358658300
20159771,240488,122285329627
20171510,240438,143470139940
20238380,240150,90489726977
20323096,239787,22504479038
20340978,239712,45393772801
20478267,239125,61548585514
20516882,238963,89312786714
20622165,238525,133562820752
20653282,238388,125447352227
20656810,238375,93426333789
20789637,237825,137464453040
20797149,237788,109448117127
20846538,237587,115344513665
21051023,236738,47665724363
21056574,236725,163933770991
21214300,236075,112738073077
21287906,235775,84109038177
21341797,235550,19362644100
21404890,235300,108762982977
21422157,235225,31375121951
21433098,235187,57212209289
21446644,235125,1342836163
21459452,235075,25975862100
21634639,234375,74564981689
21638114,234362,16426583788
21707170,234087,41384656226
21711519,234063,12954098275
21750071,233913,96845967989
21894835,233350,147449191478
21966003,233063,92076704314
21977545,233025,153472498103
22033712,232800,108399515840
22086227,232588,19771555475
22158142,232313,150920156315
22174660,232250,94518741139
22175842,232250,156124958640
22179265,232237,163064757566
22261447,231912,33380898851
22304052,231750,159487977828
22315424,231700,89692959927
22413303,231325,131011704340
22512762,230938,149185633065
22669854,230337,53740998864
22677112,230312,129458374690
22683356,230287,118814329890
22707621,230188,110136858527
22713282,230163,32046500588
22785670,229888,69830297676
22801497,229825,17365007388
22925471,229362,82372026402
22983451,229138,43387789263
22998146,229087,55475589989
23003456,229063,93666014064
23061862,228850,162199061016
23174084,228425,125456125390
23206103,228300,68489279264
23227916,228225,159615691378
23248210,228150,159597462265
23297503,227962,55529705389
23343253,227788,90181392464
23356432,227738,63475789426
23393497,227600,25369200113
23660458,226613,140509181815
23771588,226200,9484385950
23890105,225763,1347191175
24084715,225050,13360641550
24099378,225000,63284672064
24122736,224913,76299759101
24125836,224900,19896876788
24255210,224437,129456072315
24266132,224388,40433819388
24429631,223800,97431327727
24466143,223663,35516084288
24486284,223600,154847047290
24604853,223163,14689096550
24627416,223087,33379690551
24728571,222725,127455361090
24759121,222612,55398773189
24879982,222175,65017377351
24914255,222050,37380897888
24944141,221950,123455145752
25121708,221312,20761307438
25332765,220562,71415202939
25352078,220488,71420508526
25355988,220475,57398993376
25466762,220087,80159432214
25556574,219763,78571776701
25588116,219650,29442133888
25605792,219588,38119250513
25622506,219537,106665166827
25662761,219388,45064454788
25780115,218975,67447775439
25895854,218563,13358770825
25929389,218450,70226908439
25949747,218375,11357056338
26157936,217650,98860240127
26230723,217400,153477985965
26244592,217350,143109429903
26393288,216825,87575411739
26460794,216588,155259653215
26581732,216163,105434080364
26626830,216012,120551928540
26655962,215900,12087920288
26679040,215825,83426072839
26693249,215775,86514361939
27037219,214575,31178700788
27046047,214550,101442538627
27116260,214300,25104519550
27154740,214175,137038428490
27168035,214125,71961247114
27198270,214025,139469906465
27217857,213950,58077862364
27223310,213937,129224800890
27226189,213925,117949538102
27236690,213887,42461617326
27250130,213838,119094208602
27257468,213813,131461921627
27313817,213625,141374902690
27495531,212988,49395558413
27504778,212962,73803884889
27528917,212875,75430955264
27581472,212688,39383257438
27607352,212600,45197389188
27637326,212500,87424958489
27644620,212475,91427870589
27727599,212187,21357432563
27734059,212163,111005392427
28030256,211138,105799486114
28057519,211050,130095687002
28159505,210688,6260592700
28243644,210400,46799698251
28264101,210325,11361874350
28292145,210237,91418501827
28481024,209575,6879922088
28483925,209575,135460462265
28574394,209262,73010394389
28582449,209237,154387316578
28776798,208562,15362647388
28840383,208338,63404853051
28849826,208312,86711501227
28943809,207987,11825548063
29092758,207475,78902145389
29131700,207338,85840581214
29136158,207325,80951002127
29305590,206738,99726207039
29389440,206450,96254300589
29534711,205950,133463522315
29572571,205813,75414008226
29587923,205762,9352584063
29692895,205400,97988876577
29739517,205237,35376810776
29987690,204375,81419065402
30072146,204075,3345484200
30140352,203838,5354858075
30196617,203650,125758347940
30413566,202875,806511325
30445885,202763,6010986425
30551936,202400,127490131840
30654550,202037,27378741526
30700604,201875,73695975164
30927865,201075,71090676714
31037946,200687,23373711313
31063478,200600,136168484128
31070974,200575,148315360078
31074203,200562,111148090690
31094585,200487,7749045963
31240870,199963,45387244063
31298058,199763,127458026327
31410797,199363,134435522840
31438868,199263,93651433164
31450008,199225,73414900264
31513953,199000,109271285277
31514178,199000,119685451265
31540634,198900,29372815463
31644346,198537,42818158401
31693211,198362,48534721226
31751237,198150,38988656776
31778592,198050,11218974163
31807055,197950,43328704751
31813956,197925,37253635588
31858880,197763,18160740625
31969719,197375,117079526615
31977187,197350,139636599440
32034314,197138,117449706727
32041920,197112,13823283438
32085116,196950,4273905538
32322279,196100,92785052389
32381143,195887,47387452301
32419701,195750,111444272490
32503802,195450,159483164290
32706675,194700,26840813275
32739805,194587,78036517289
32796648,194375,64270068701
32829474,194262,141465214578
32989489,193663,29309200838
33028841,193525,102327637727
33037433,193488,51391933313
33166761,193013,141471294615
33215514,192837,151786414878
33303488,192500,11351739425
33306530,192500,158728197503
33322769,192437,97123529627
33339226,192375,107439392977
33408956,192113,118298736377
33562461,191538,95388995714
33656028,191188,124886834802
33662211,191163,87421460239
33694794,191038,23368100950
33810741,190600,39854723163
33870972,190375,65411055514
33899606,190263,19359141500
33951088,190075,119451594190
34080651,189575,10351218663
34166102,189250,36388195463
34222444,189037,3352400238
34284456,188800,51137056688
34320310,188663,145468470790
34349465,188550,62678218501
34467006,188100,103196846139
34527754,187863,149478111690
34753647,186987,116214281040
34792782,186825,27374687588
34838613,186650,95255881289
34868014,186537,104932679102
34884814,186463,27710885088
34930754,186288,157481625240
34946197,186225,49173549326
34953478,186200,99435940452
35000110,186013,61401188876
35054733,185800,79419170714
35201970,185213,33782469288
35222190,185137,47584723351
35296483,184838,155486310990
35523319,183925,72828317514
35560524,183775,45928385288
35611835,183563,7351809325
35815365,182738,81503575064
35878147,182487,56341144189
36026644,181875,106378443914
36133991,181425,21633310000
